CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Survey Date,Survey Type,Deficiency Prefix,Deficiency Category,Deficiency Tag Number,Deficiency Description,Scope Severity Code,Deficiency Corrected,Correction Date,Inspection Cycle,Standard Deficiency,Complaint Deficiency,Infection Control Inspection Deficiency,Citation under IDR,Citation under IIDR,Location,Processing Date
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2025-12-16,Health,F,Resident Rights Deficiencies,0561,Honor the resident's right to and the facility must promote and facilitate resident self-determination through support of resident choice.,D,"Deficient, Provider has date of correction",2025-12-30,1,N,Y,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2025-12-16,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",0600,"Protect each resident from all types of abuse such as physical, mental, sexual abuse, physical punishment, and neglect by anybody.",D,Past Non-Compliance,2025-11-19,1,N,Y,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2025-10-23,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",0600,"Protect each resident from all types of abuse such as physical, mental, sexual abuse, physical punishment, and neglect by anybody.",G,"Deficient, Provider has date of correction",2025-11-14,1,N,Y,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2025-10-23,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",0610,Respond appropriately to all alleged violations.,D,"Deficient, Provider has date of correction",2025-11-14,1,N,Y,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2025-10-23,Health,F,Quality of Life and Care Deficiencies,0684,"Provide appropriate treatment and care according to orders, resident’s preferences and goals.",D,"Deficient, Provider has date of correction",2025-11-14,1,N,Y,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2025-10-23,Health,F,Quality of Life and Care Deficiencies,0744,Provide the appropriate treatment and services to a resident who displays or is diagnosed with dementia.,D,"Deficient, Provider has date of correction",2025-11-14,1,N,Y,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2025-06-19,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",2025-07-04,1,Y,N,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2025-06-19,Health,F,Resident Assessment and Care Planning Deficiencies,0657,"Develop the complete care plan within 7 days of the comprehensive assessment; and prepared, reviewed, and revised by a team of health professionals.",E,"Deficient, Provider has date of correction",2025-07-04,1,Y,N,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2025-06-19,Health,F,Quality of Life and Care Deficiencies,0679,Provide activities to meet all resident's needs.,E,"Deficient, Provider has date of correction",2025-07-04,1,Y,N,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2025-06-19,Health,F,Quality of Life and Care Deficiencies,0692,Provide enough food/fluids to maintain a resident's health.,E,"Deficient, Provider has date of correction",2025-07-04,1,Y,N,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2025-06-19,Health,F,Environmental Deficiencies,0919,Make sure that a working call system is available in each resident's  bathroom and bathing area.,E,"Deficient, Provider has date of correction",2025-07-04,1,Y,N,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2025-06-19,Health,F,Resident Rights Deficiencies,0578,"Honor the resident's right to request, refuse, and/or discontinue treatment, to participate in or refuse to participate in experimental research, and to formulate an advance directive.",D,"Deficient, Provider has date of correction",2025-07-04,1,Y,N,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2025-06-19,Health,F,Resident Rights Deficiencies,0584,"Honor the resident's right to a safe, clean, comfortable and homelike environment, including but not limited to receiving treatment and supports for daily living safely.",D,"Deficient, Provider has date of correction",2025-07-04,1,Y,N,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2025-06-19,Health,F,Resident Assessment and Care Planning Deficiencies,0655,Create and put into place a plan for meeting the resident's most immediate needs within 48 hours of being admitted,D,"Deficient, Provider has date of correction",2025-07-04,1,Y,N,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2025-06-19,Health,F,Resident Assessment and Care Planning Deficiencies,0656,"Develop and implement a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",D,"Deficient, Provider has date of correction",2025-07-04,1,Y,N,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2025-06-19,Health,F,Quality of Life and Care Deficiencies,0689,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.,D,"Deficient, Provider has date of correction",2025-07-04,1,Y,N,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2025-06-19,Health,F,Quality of Life and Care Deficiencies,0740,Ensure each resident must receive and the facility must provide necessary behavioral health care and services.,D,"Deficient, Provider has date of correction",2025-07-04,1,Y,N,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2025-06-19,Health,F,Quality of Life and Care Deficiencies,0742,"Provide the appropriate treatment and services to a resident who displays or is diagnosed with mental disorder or psychosocial adjustment difficulty, or who has a history of trauma and/or post-traumatic stress disorder.",D,"Deficient, Provider has date of correction",2025-07-04,1,Y,N,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2024-12-31,Health,F,Nursing and Physician Services Deficiencies,0725,Provide enough nursing staff every day to meet the needs of every resident; and have a licensed nurse in charge on each shift.,F,"Deficient, Provider has date of correction",2025-01-21,2,N,Y,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2024-12-31,Health,F,Quality of Life and Care Deficiencies,0677,Provide care and assistance to perform activities of daily living for any resident who is unable.,E,"Deficient, Provider has date of correction",2025-01-21,2,N,Y,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2024-10-09,Health,F,Quality of Life and Care Deficiencies,0744,Provide the appropriate treatment and services to a resident who displays or is diagnosed with dementia.,E,"Deficient, Provider has date of correction",2024-10-30,2,N,Y,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2024-10-09,Health,F,Quality of Life and Care Deficiencies,0740,Ensure each resident must receive and the facility must provide necessary behavioral health care and services.,D,"Deficient, Provider has date of correction",2024-10-30,2,N,Y,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2024-01-29,Health,F,Quality of Life and Care Deficiencies,0677,Provide care and assistance to perform activities of daily living for any resident who is unable.,D,"Deficient, Provider has date of correction",2024-02-21,3,N,Y,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2023-05-23,Health,F,Quality of Life and Care Deficiencies,0684,"Provide appropriate treatment and care according to orders, resident’s preferences and goals.",G,"Deficient, Provider has date of correction",2023-06-14,3,Y,N,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2023-05-23,Health,F,Quality of Life and Care Deficiencies,0692,Provide enough food/fluids to maintain a resident's health.,G,"Deficient, Provider has date of correction",2023-06-14,3,Y,N,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2023-05-23,Health,F,Resident Assessment and Care Planning Deficiencies,0656,"Develop and implement a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",E,"Deficient, Provider has date of correction",2023-06-14,3,Y,N,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2023-05-23,Health,F,Quality of Life and Care Deficiencies,0695,Provide safe and appropriate respiratory care for a resident when needed.,E,"Deficient, Provider has date of correction",2023-06-14,3,Y,N,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2023-05-23,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",2023-06-14,3,Y,N,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2023-05-23,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",0600,"Protect each resident from all types of abuse such as physical, mental, sexual abuse, physical punishment, and neglect by anybody.",D,"Deficient, Provider has date of correction",2023-06-14,3,Y,N,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2023-05-23,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",0610,Respond appropriately to all alleged violations.,D,"Deficient, Provider has date of correction",2023-06-14,3,Y,N,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2023-05-23,Health,F,Quality of Life and Care Deficiencies,0677,Provide care and assistance to perform activities of daily living for any resident who is unable.,D,"Deficient, Provider has date of correction",2023-06-14,3,Y,N,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
275012,BENEFIS SENIOR SERVICES - EASTVIEW,2621 15TH AVE S,GREAT FALLS,MT,59405,2023-05-23,Health,F,Quality of Life and Care Deficiencies,0686,Provide appropriate pressure ulcer care and prevent new ulcers from developing.,D,"Deficient, Provider has date of correction",2023-06-14,3,Y,N,N,N,N,"2621 15TH AVE S,GREAT FALLS,MT,59405",2026-08-01
